Date,Groupes,Programme,Types,Note,Line
10/02/2026,Cuisses,Sarco,MIXTE,,6 / 12 / 25 [6 / 12 / 25] | Variable (6_12_25)
09/02/2026,Pecs,Standard,SARCOPLASMIQUE,,Séries 10–12 (standard) [8–15 (idéal 10–12)] | 60–75% (series_10_12_standard)
26/02/2026,,Standard,SARCOPLASMIQUE,,Séries 10–12 (standard) [8–15 (idéal 10–12)] | 60–75% (series_10_12_standard)
25/02/2026,,Standard,SARCOPLASMIQUE,,Séries 10–12 (standard) [8–15 (idéal 10–12)] | 60–75% (series_10_12_standard)
27/02/2026,,Standard,SARCOPLASMIQUE,,Séries 10–12 (standard) [8–15 (idéal 10–12)] | 60–75% (series_10_12_standard)
24/02/2026,Cuisses,Standard,SARCOPLASMIQUE,,Séries 10–12 (standard) [8–15 (idéal 10–12)] | 60–75% (series_10_12_standard)
